rank,model_name,overall_mean_pcc
1,NTv3 650M (pos),0.6192761148307837
2,NTv3 650M (pre),0.5793687233737871
3,Lumina beat-v7 context-pyramid,0.5319731135771725
4,NTv3 100M (pre),0.5303324224317775
5,Residual CNN 44M,0.5156384896413952
6,NTv3 8M (pre),0.49823602712621873
7,Caduceus 7M,0.48469278011836253
8,Residual CNN 700k,0.43885703983844493
9,Evo2 1B,0.40909185085226507
10,BPNet arch. 6M,0.3938671779983184
11,NTv2 500M,0.3819580345469362
12,HyenaDNA 7M,0.3584319529872314
13,BPNet arch. 100k,0.3062272822009582
